merchant_75 {x : 34, y : 91} | killed by | knight_78 {x : 34, y : 85}
merchant_74 {x : 31, y : 91} | killed by | knight_78 {x : 34, y : 85}
squirrel_87 {x : 92, y : 29} | killed by | merchant_71 {x : 90, y : 28}
merchant_97 {x : 76, y : 84} | killed by | knight_57 {x : 82, y : 76}
merchant_80 {x : 88, y : 70} | killed by | knight_57 {x : 82, y : 76}
merchant_70 {x : 50, y : 85} | killed by | knight_53 {x : 49, y : 83}
squirrel_89 {x : 20, y : 7} | killed by | merchant_83 {x : 21, y : 11}
squirrel_86 {x : 81, y : 28} | killed by | squirrel_88 {x : 81, y : 32}
merchant_82 {x : 76, y : 70} | killed by | knight_53 {x : 78, y : 77}
squirrel_94 {x : 53, y : 46} | killed by | squirrel_64 {x : 57, y : 44}
squirrel_65 {x : 48, y : 5} | killed by | merchant_98 {x : 52, y : 5}
squirrel_64 {x : 65, y : 42} | killed by | squirrel_88 {x : 66, y : 42}
merchant_62 {x : 24, y : 76} | killed by | knight_53 {x : 28, y : 83}
merchant_81 {x : 27, y : 44} | killed by | knight_53 {x : 29, y : 48}
merchant_79 {x : 45, y : 60} | killed by | knight_53 {x : 46, y : 53}
merchant_99 {x : 58, y : 57} | killed by | knight_53 {x : 56, y : 64}
merchant_84 {x : 95, y : 59} | killed by | knight_53 {x : 91, y : 68}
merchant_91 {x : 92, y : 75} | killed by | knight_53 {x : 98, y : 68}
squirrel_76 {x : 95, y : 31} | killed by | squirrel_88 {x : 91, y : 29}
squirrel_88 {x : 94, y : 28} | killed by | merchant_98 {x : 91, y : 26}
merchant_54 {x : 88, y : 55} | killed by | knight_53 {x : 85, y : 55}
merchant_66 {x : 52, y : 91} | killed by | knight_53 {x : 44, y : 93}
squirrel_73 {x : 34, y : 52} | killed by | squirrel_59 {x : 36, y : 55}
squirrel_55 {x : 78, y : 34} | killed by | merchant_98 {x : 79, y : 34}
squirrel_77 {x : 69, y : 16} | killed by | merchant_98 {x : 66, y : 20}
squirrel_59 {x : 76, y : 35} | killed by | merchant_98 {x : 76, y : 30}
squirrel_68 {x : 15, y : 49} | killed by | squirrel_58 {x : 19, y : 51}
merchant_71 {x : 7, y : 75} | killed by | knight_67 {x : 11, y : 79}
merchant_83 {x : 95, y : 57} | killed by | knight_53 {x : 95, y : 57}
